titulo,categoría,url video,canal
Todo lo que vemos - 354 - Glosario,Entretenimiento,https://www.youtube.com/watch?v=l0wvBIqYNCA,Señal Colombia
Sillón retromoda,Entretenimiento,https://www.youtube.com/watch?v=zf77LjL3sXQ,Señal Colombia
Nuestros deportistas - Paulo Villar,Deportes,https://www.youtube.com/watch?v=djv7y_oOrlw,Señal Colombia
"En cine nos vemos - Sicario - José Ramón Novoa, 1994",Película y Animación,https://www.youtube.com/watch?v=0e_vtnhrADI,Señal Colombia
Todo lo que vemos - 65 - Televidentes - Francisco Casas,Educación,https://www.youtube.com/watch?v=tp282xh2WFI,Señal Colombia
DBC intro cap 02,Deportes,https://www.youtube.com/watch?v=KidH9a5nH34,Señal Colombia
Todo lo que vemos - 169 - Glosario - Hábito,Entretenimiento,https://www.youtube.com/watch?v=qNvzTM9Bsvo,Señal Colombia
Salvando Planeta Palabra - Mentiras piadosas (Capítulo completo),Película y Animación,https://www.youtube.com/watch?v=IwAvKXlPGL0,Mi Señal
Colombia Oro y Paz - Del 6 al 11 de febrero en Señal Colombia,Deportes,https://www.youtube.com/watch?v=hXeqp66EzAQ,Señal Deportes
Todo lo que vemos - 415 - Televidente - Clara Joya,Entretenimiento,https://www.youtube.com/watch?v=MminW8ydfAs,Señal Colombia
Todo lo que vimos - Los seis programas más innovadores,Entretenimiento,https://www.youtube.com/watch?v=Y5wBg4SjjBQ,Señal Colombia
Todo lo que vemos - 153 - Televidentes - Édgar Melo,Entretenimiento,https://www.youtube.com/watch?v=KJYqkTDKSkw,Señal Colombia
Todo lo que vemos - 363 - Capítulo completo - Sábado 23 de julio,Entretenimiento,https://www.youtube.com/watch?v=Y9svuxRw2Gw,Señal Colombia
Mes de la literatura - ArtPoética 14 de Abril,Película y Animación,https://www.youtube.com/watch?v=sP0OzZInA-k,Señal Colombia
Today in replay 19 de junio,Deportes,https://www.youtube.com/watch?v=GsUftZt6cxQ,Señal Deportes
Reso Animales Largo,Educación,https://www.youtube.com/watch?v=HeEEHFoAADw,Señal Colombia
LA NETT 'Nuestras Escuelas Transforman Territorios' - Lunes a viernes 6:30 p.m.,Educación,https://www.youtube.com/watch?v=3jIxKU3_DRE,Mi Señal
Convocatoria sobre los derechos humanos de las mujeres y la violencia basada en género,Película y Animación,https://www.youtube.com/watch?v=L0WHpuDO94U,Señal Colombia
Anónimas extraordinarias - Claudia Delgado,Película y Animación,https://www.youtube.com/watch?v=Hdk-pRHzSBM,Señal Colombia
¡Estreno: Temporada 3 de Puerto Papel!,Película y Animación,https://www.youtube.com/watch?v=ej9lrA1zpAU,Mi Señal
Maite Hontele? Ft. El Freaky colectivo - De?jame asi?,Entretenimiento,https://www.youtube.com/watch?v=UoYoHT7Jnvs,Señal Colombia
Todo lo que vemos - 201 - Televidentes - Sandra Riaño,Gente y Blogs,https://www.youtube.com/watch?v=9Peiip8FYoY,Señal Colombia
"Historias horribles, la serie - Viernes 8:00 pm",Película y Animación,https://www.youtube.com/watch?v=QiPqdB2IzcQ,Señal Colombia
"Jaime Garzón, especial - Ganador India Catalina mejor producción periodística para TV",Gente y Blogs,https://www.youtube.com/watch?v=wP2zQTWYxGw,Señal Colombia
Mi señal - Josefina y guante parlante en el carnavalito,Educación,https://www.youtube.com/watch?v=ulHaFVVSc_M,Mi Señal
1 de 6 cirugia estetica acceso directo.mpg,Entretenimiento,https://www.youtube.com/watch?v=x_0VKMuHpjQ,Señal Colombia
Todo lo que vemos - 374 - Glosario,Entretenimiento,https://www.youtube.com/watch?v=12pQuOhyjzk,Señal Colombia
¿Qué es lo chévere de estar en un equipo?,Película y Animación,https://www.youtube.com/watch?v=HU3ojj91XAg,Mi Señal
"Aislados, ganador India Catalina mejor fotografía",Gente y Blogs,https://www.youtube.com/watch?v=kAR5AXqOR3w,Señal Colombia
Nace una orquesta,Entretenimiento,https://www.youtube.com/watch?v=fKdDIwr820g,Señal Colombia
Entrevista a Manuela Vásquez en señaldeportes,Deportes,https://www.youtube.com/watch?v=I8peVVcyd-g,Señal Deportes
Sub 30 Paseos retro,Entretenimiento,https://www.youtube.com/watch?v=hW1vN6zzp9o,Señal Colombia
Reel señalcolombia,Entretenimiento,https://www.youtube.com/watch?v=YbGs33J56CM,Señal Colombia
Colom-bío - Capítulo 3 - Basuras,Educación,https://www.youtube.com/watch?v=OZNc6gVu-A4,Señal Colombia
Todo lo que vemos 16 - Respuestas frecuentes,Entretenimiento,https://www.youtube.com/watch?v=7-RnxvQr4ew,Señal Colombia
Vivir Juntos. Familia (Argentina),Gente y Blogs,https://www.youtube.com/watch?v=-fCvbTdK4co,Señal Colombia
Todo lo que vemos - 403 - Televidente - Claudia Ávila,Entretenimiento,https://www.youtube.com/watch?v=61wszMiIu6Y,Señal Colombia
La SUB 30 Padres e Hijos,Entretenimiento,https://www.youtube.com/watch?v=0NiGmiLCOZI,Señal Colombia
Nueva Venecia - La situación de la pesca (clip),Entretenimiento,https://www.youtube.com/watch?v=L8lSn1cAiOs,Señal Colombia
Todo lo que vemos - 64 - Glosario - Televisión,Educación,https://www.youtube.com/watch?v=KzK0-1LslfY,Señal Colombia
Así fue nuestra visita a la Fundación Cardioinfantil,Película y Animación,https://www.youtube.com/watch?v=Wo_UNTcHzTI,Mi Señal
Entrevista al Comegalletas (Parte 1),Película y Animación,https://www.youtube.com/watch?v=6D7dSstAmj8,Mi Señal
Pimienta cayena,Educación,https://www.youtube.com/watch?v=tSD0bFHCfsk,Mi Señal
Promo oli?mpicos - 100 metros planos,Deportes,https://www.youtube.com/watch?v=A4GObZ2kbGA,Señal Deportes
Puros criollos - Estreno 8:00 pm en nuestro canal Youtube en simultánea,Película y Animación,https://www.youtube.com/watch?v=Nf5NIXHC82w,Señal Colombia
La sub30 - deporte retro,Entretenimiento,https://www.youtube.com/watch?v=IMSv-b1ET10,Señal Colombia
Todo lo que vemos - 427 - Televidente - Álvaro Elvira,Entretenimiento,https://www.youtube.com/watch?v=VndBoiTIBJg,Señal Colombia
"Todo lo que vemos - 91 - Preguntas Frecuentes - Peticiones, quejas y reclamos",Gente y Blogs,https://www.youtube.com/watch?v=r4_j_B4lYdA,Señal Colombia
"Señal deportes, llevamos el ciclismo por dentro",Deportes,https://www.youtube.com/watch?v=5I-sk3apHD0,Señal Deportes
Cuando el río suena - Andagoya (Capítulo completo),Gente y Blogs,https://www.youtube.com/watch?v=i4rnGzzGK4M,Señal Colombia
Todo lo que vemos 15 - Eliana Acevedo,Entretenimiento,https://www.youtube.com/watch?v=U3oVaHaGK_8,Señal Colombia
En cine nos vemos - Saludo Natalia Martínez,Película y Animación,https://www.youtube.com/watch?v=IqBqq9YwRjc,Señal Colombia
Todo lo que vemos - 344 - Televidente - Fredy Calderón.,Entretenimiento,https://www.youtube.com/watch?v=9davPOf11u4,Señal Colombia
"Puesto 4, Los viajes del viento - La gran escuesta del cine colombiano",Película y Animación,https://www.youtube.com/watch?v=Pf1e2xLF8mI,Señal Colombia
2 de 6 musica fusion acceso directo.mpg,Entretenimiento,https://www.youtube.com/watch?v=ouYyRget6lQ,Señal Colombia
Disciplina - Fútbol de salon,Deportes,https://www.youtube.com/watch?v=NMphsawS298,Señal Deportes
Ya viene la Vuelta España 2014,Deportes,https://www.youtube.com/watch?v=BzLch-HqyQc,Señal Deportes
Festival de Danzas una forma de hacer deporte,Deportes,https://www.youtube.com/watch?v=smVpzd5KDC4,Señal Deportes
¿Los niños podemos cambiar el mundo?,Película y Animación,https://www.youtube.com/watch?v=1-JFM3mNoQc,Mi Señal
Puesto 4 - Que? pena,Gente y Blogs,https://www.youtube.com/watch?v=8KWUwTs-rdY,Señal Colombia
Todo lo que vemos - 136 - Televidentes - Carlos Alberto Caraballo,Entretenimiento,https://www.youtube.com/watch?v=RudcskKARQU,Señal Colombia
Bicentenario Memoria Revelada - Saludo Colombia,Educación,https://www.youtube.com/watch?v=qkmOdA0APvQ,Señal Colombia
ETT - Making Off,Educación,https://www.youtube.com/watch?v=2tT3unK6Z1k,Mi Señal
En cine nos vemos - El verano de la señora Forbes - Mañana viernes 17 de abril 9:00 p.m.,Película y Animación,https://www.youtube.com/watch?v=PY7vMCLLg8w,Señal Colombia
Todo lo que vemos - 366 - Capítulo completo - Sábado 13 de agosto,Entretenimiento,https://www.youtube.com/watch?v=wv75hWM4jHA,Señal Colombia
Letra urbana - Capítulo 04 Fabio Martínez,Gente y Blogs,https://www.youtube.com/watch?v=YOFp4n8za3c,Señal Colombia
Anónimas extraordinarias - Águila Tway,Película y Animación,https://www.youtube.com/watch?v=-ms2Xhmw3nQ,Señal Colombia
Sebastián Toro en el Rally Dakar 2013,Deportes,https://www.youtube.com/watch?v=J8Mfr2D8P5w,Señal Deportes
¿Qué opinas sobre el machismo?,Película y Animación,https://www.youtube.com/watch?v=cJxBgdmz6ow,Mi Señal
ZoOtecnia II - Capítulo 13 - La marca,Educación,https://www.youtube.com/watch?v=EJgUrdmG0RM,Señal Colombia
La SUB 30 Música electrónica,Entretenimiento,https://www.youtube.com/watch?v=BW1c4RZz8y0,Señal Colombia
"María Mulata, narradora de Danza Colombia Trayecto Río Magdalena.",Educación,https://www.youtube.com/watch?v=WDLgOxFNPKU,Señal Colombia
"Invasión de diversión - Juani y Gatón - L a V 8:30 a.m. y 3:30 p.m. y S y D, 6:00 a.m.",Película y Animación,https://www.youtube.com/watch?v=unM9jPBsVak,Mi Señal
First Time Filmmakers - El protector de los delfines (tráiler),Entretenimiento,https://www.youtube.com/watch?v=SU9SHR6NKNw,Señal Colombia
"Ruta Sur ""Chiriurcu"" Capi?tulo 04",Viajes y Eventos,https://www.youtube.com/watch?v=UZf1Nwg7e3I,Señal Colombia
Jugo de ojos por: Nicole y Laura,Película y Animación,https://www.youtube.com/watch?v=TM-7ZXwM2sk,Mi Señal
"#LosNacionalesXSeñal - María Elena Hurtado, la Pelé antioqueña",Deportes,https://www.youtube.com/watch?v=jg9bDoI6d9U,Señal Deportes
Todo lo que vemos - 336 - Televidente - Esneider Cortés,Entretenimiento,https://www.youtube.com/watch?v=y6lsvS9PC6A,Señal Colombia
Todo lo que vemos 04 - Glosario: Productor,Entretenimiento,https://www.youtube.com/watch?v=X9uqpocGEss,Señal Colombia
¿Cómo es tu municipio? Los niños de Paicol nos cuentan,Película y Animación,https://www.youtube.com/watch?v=Kzpktjjo4fI,Mi Señal
La Severa Matacera - Paranoia (Señal Radiónica),Música,https://www.youtube.com/watch?v=wcJ-iXo6mDk,Señal Colombia
Los Pepa - Clip 44 - Virus en internet,Educación,https://www.youtube.com/watch?v=EC88i_glXQs,Mi Señal
#VotoCriollo - El chontaduro,Gente y Blogs,https://www.youtube.com/watch?v=rmDoJONr63U,Señal Colombia
Todo lo que vemos - 87 - Televidentes - Rene Vaca Cardozo,Educación,https://www.youtube.com/watch?v=L97qpfWTmYU,Señal Colombia
Todo lo que vemos - 368 - Televidente - Aly Chávez Montoya,Entretenimiento,https://www.youtube.com/watch?v=J_y_9EH2G-o,Señal Colombia
Today in replay 29 de julio,Deportes,https://www.youtube.com/watch?v=bxfmuwjm8kI,Señal Deportes
Historias en bici - ¿Quieres viajar por Colombia en bici?,Deportes,https://www.youtube.com/watch?v=EZe0ZoHFuII,Señal Deportes
Todo lo que vemos - 338 - Televidente - Carlos Eduardo Arias,Entretenimiento,https://www.youtube.com/watch?v=goyMW2444uU,Señal Colombia
Los Pepa - Clip 27 - Viaje al humedal,Educación,https://www.youtube.com/watch?v=ndasDVUp8u0,Mi Señal
Reso Mi Casa Largo,Educación,https://www.youtube.com/watch?v=QYYF3OytGAc,Señal Colombia
Todo lo que vemos - 132 - Televidentes - Javier Orlando Marín,Entretenimiento,https://www.youtube.com/watch?v=buTvUAMmXmk,Señal Colombia
#PedaleoPor: Jorge envía un saludo a los escarabajos,Deportes,https://www.youtube.com/watch?v=P9CBKGmIy0k,Señal Deportes
Todo lo que vemos - 367 - Televidente - Fredy Tobasía,Entretenimiento,https://www.youtube.com/watch?v=UX3u9R_hIqs,Señal Colombia
Todo lo que vemos - 158 - Televidentes - Miguel Lizarazo,Entretenimiento,https://www.youtube.com/watch?v=RiOnFCEz9RU,Señal Colombia
"En cine nos vemos - El Resquicio - Alfonso Acosta, 2012",Película y Animación,https://www.youtube.com/watch?v=5ZrBQfye37E,Señal Colombia
El cine según los maestros - Señal Colombia en el FICCI,Película y Animación,https://www.youtube.com/watch?v=HYYfvxQHJNI,Señal Colombia
Todo lo que vemos - cap 09 - presentación,Entretenimiento,https://www.youtube.com/watch?v=GntCX-K8tm4,Señal Colombia
Televisión al natural - Todo lo que vimos,Entretenimiento,https://www.youtube.com/watch?v=9IxdgJOsVGo,Señal Colombia
Today in replay 10 de julio,Deportes,https://www.youtube.com/watch?v=oKyr9icCW-0,Señal Deportes
Sopó: Manuel Galeano y Deivid Galeano - Receta Lenguas podridas,Película y Animación,https://www.youtube.com/watch?v=VZrBSi8CJ2k,Mi Señal
Los Pepa - Clip 52 - Historia de internet,Educación,https://www.youtube.com/watch?v=XpShALwgiG8,Mi Señal
Mr.Trance - Tupper Trance (Fragmento),Película y Animación,https://www.youtube.com/watch?v=xPgZDNmhytU,Señal Colombia
Today in replay 11 de junio,Deportes,https://www.youtube.com/watch?v=WitxJj1LW1M,Señal Deportes
Todo lo que vemos - 379 - Televidente - Chalo Flórez,Entretenimiento,https://www.youtube.com/watch?v=P-oedBaKsLA,Señal Colombia
Los puros criollos - vallenato - Andrés Beleño - Verseador,Entretenimiento,https://www.youtube.com/watch?v=2SKZBVY5KEM,Señal Colombia
La Gran Pregunta - Héroes (Capítulos completos),Educación,https://www.youtube.com/watch?v=mUEoREDoyp0,Mi Señal
Puerto Papel - Había Una Vez... (Capítulo completo),Educación,https://www.youtube.com/watch?v=oLzNELocAmQ,Mi Señal
Todo lo que vemos - 102 - Televidentes - Sebastián Paredes Salamanca,Música,https://www.youtube.com/watch?v=tN0lpIqoQ0Q,Señal Colombia
FICCI 2012 con Jhonny Hendrix,Película y Animación,https://www.youtube.com/watch?v=ufsVx-gELeQ,Señal Colombia
¡Ayúdanos a encontrar un nombre para nuestro dragón!,Película y Animación,https://www.youtube.com/watch?v=-NE4rAc42_Q,Mi Señal
Los gaiterios de San Jacinto Ft. Diego Go?mez - Tal vez tu?,Entretenimiento,https://www.youtube.com/watch?v=M1sblzjA5uM,Señal Colombia
¿Qué hacer si un niño no quiere comer?,Entretenimiento,https://www.youtube.com/watch?v=triKjZjFAUI,Señal Colombia
Todo lo que vemos - 197 - Glosario - Convergencia Tecnológica,Gente y Blogs,https://www.youtube.com/watch?v=70-M5L1tw6k,Señal Colombia
En cine nos vemos - La edad de la peseta - Mañana domingo 15 de marzo 11:00 p.m. #InolvidableFicci55,Película y Animación,https://www.youtube.com/watch?v=5UE_lfR--fk,Señal Colombia
Más Nuestro: Luz Marina Ramírez,Deportes,https://www.youtube.com/watch?v=wrSswS9Fneg,Señal Colombia
5 razones para ver el Tour de L' Avenir - Daniel Martínez.,Deportes,https://www.youtube.com/watch?v=Pz29Ewo4Ydg,Señal Deportes
"Semana del Bogotazo: Estalla Bogotá, estalla el teatro - Señal Colombia",Película y Animación,https://www.youtube.com/watch?v=4Q8JJMtFj-Y,Señal Colombia
"Todo lo que vemos - 310 - Capítulo completo - Sábado 18 de julio, 2015",Película y Animación,https://www.youtube.com/watch?v=ZDFLKOoeTIg,Señal Colombia
Karaoke Mi Señal: Oso de anteojos,Película y Animación,https://www.youtube.com/watch?v=hn296aADvuA,Mi Señal
Today in replay 03 de agosto,Deportes,https://www.youtube.com/watch?v=8QpSW06Zu1g,Señal Deportes
Todo lo que vemos - 149 - Televidentes - Óscar Checa,Entretenimiento,https://www.youtube.com/watch?v=j1Qy13CQKzo,Señal Colombia
"Franja ""Anónimas extraordinarias"" - Mujer solar",Gente y Blogs,https://www.youtube.com/watch?v=WLW-V8YWNIk,Señal Colombia
Crema pastelera,Educación,https://www.youtube.com/watch?v=ZTpkJKxsbas,Mi Señal
Documental: 'Solar mamas' - Hoy martes 3 de marzo 8:00 p.m. #SeñalParaPensar,Película y Animación,https://www.youtube.com/watch?v=9xJPEbx4kxU,Señal Colombia
Aquí se nace - Documental sobre Armero,Película y Animación,https://www.youtube.com/watch?v=H9iv30VU3dU,Señal Colombia
Todo lo que vemos - 259 - Televidente - Ricardo Bejarano,Película y Animación,https://www.youtube.com/watch?v=r21uZcDnqUM,Señal Colombia
¿Cómo enseñarle a los papás a reciclar?,Película y Animación,https://www.youtube.com/watch?v=It6UwkuCm90,Mi Señal
Los Pepa - Clip 24 - Medición del ruido,Educación,https://www.youtube.com/watch?v=kvUot9d45zg,Mi Señal
Guillermina y Candelario - Una sorpresa para la abuela (Capítulo completo),Película y Animación,https://www.youtube.com/watch?v=ta2FutxpfQM,Mi Señal
Todo lo que vemos - 40 - Glosario - Gag,Deportes,https://www.youtube.com/watch?v=xLvnHE4XFqQ,Señal Colombia
Nuestro Mundial - Capítulo 19,Deportes,https://www.youtube.com/watch?v=05tXedgUQJI,Señal Deportes
Today in replay 15 de enero,Deportes,https://www.youtube.com/watch?v=pBBkUmrOVfA,Señal Deportes
Todo lo que vemos - 356 - Televidente - Germán Silva,Entretenimiento,https://www.youtube.com/watch?v=_CzOgiM5XrA,Señal Colombia
Todo lo que vemos - 85 - Glosario - Técnicas de cocina,Educación,https://www.youtube.com/watch?v=Q1ZO8b91Dq8,Señal Colombia
Un logro de proporciones heróicas,Deportes,https://www.youtube.com/watch?v=4Wt7AAQu9Ag,Señal Deportes
#LosNacionalesXSeñal - Las pruebas de triatlón llenaron de emoción al municipio de Prado,Deportes,https://www.youtube.com/watch?v=-BgNC1Wowls,Señal Deportes
The Hall Effect - Shine (Señal Radiónica),Música,https://www.youtube.com/watch?v=t4b0GgjpMTA,Señal Colombia
La inspiración de Tara llega en la segunda temporada de Dance Academy,Película y Animación,https://www.youtube.com/watch?v=B_juYMlkqqQ,Mi Señal
Urbílogo - El mexican way of life,Entretenimiento,https://www.youtube.com/watch?v=oJDYK3VKQIc,Señal Colombia
Ganó 3 medallas de oro y 2 de bronce,Deportes,https://www.youtube.com/watch?v=ngYVZL0IiFo,Señal Deportes
#LosNacionalesXSeñal - Fútbol 5 Paranacional - Juan David Pérez,Deportes,https://www.youtube.com/watch?v=VoIUjFugmBs,Señal Deportes
La sub30 víctimas del conflicto,Entretenimiento,https://www.youtube.com/watch?v=ccXV_FtDd7Q,Señal Colombia
Profesor Súper O Histórico - Capítulo 13,Deportes,https://www.youtube.com/watch?v=ngbrAD4AitQ,Señal Colombia
Salvando Planeta Palabra - Fulanito desordenado (Capítulo completo),Película y Animación,https://www.youtube.com/watch?v=nAtGOcpDLLA,Mi Señal
Todo lo que vemos - 138 - Televidentes - Yamile López,Entretenimiento,https://www.youtube.com/watch?v=mElyc7qAANQ,Señal Colombia
Urbílogo - El atraco a mano enguitarrada,Entretenimiento,https://www.youtube.com/watch?v=G_lfSe78YlU,Señal Colombia
Todo lo que vemos - 209 - Glosario - Medios pu?blicos,Educación,https://www.youtube.com/watch?v=NVGYMrfGhho,Señal Colombia
Historias para un país de monaguillos - Todo lo que vimos,Entretenimiento,https://www.youtube.com/watch?v=7DEGodte2mQ,Señal Colombia
Fernando Gaitán habla del legado de Mónica Agudelo,Entretenimiento,https://www.youtube.com/watch?v=AlD0xlKKfuE,Señal Colombia
Molang - En la montaña con mi mejor amigo,Película y Animación,https://www.youtube.com/watch?v=8Bnbi10QxSs,Mi Señal
Prueba total - Sonido,Película y Animación,https://www.youtube.com/watch?v=chiJQ7pyFHw,Mi Señal
"Cuentos de Viejos - Nicolás, el hijo del curandero",Película y Animación,https://www.youtube.com/watch?v=TpMbs84rCMA,Señal Colombia
Nueva Venecia - Tejedora de sueños (clip),Película y Animación,https://www.youtube.com/watch?v=GpKDrAydiKw,Señal Colombia
6 de 6 Reinsertados Acceso directo.mpg,Entretenimiento,https://www.youtube.com/watch?v=kDNu-dvGR9c,Señal Colombia
Todo lo que vemos - 176 - Glosario - Escalona,Gente y Blogs,https://www.youtube.com/watch?v=Vzeg0lZ8PKU,Señal Colombia
FILBO 2014 - Mario Vargas Llosa,Película y Animación,https://www.youtube.com/watch?v=EbwBL8Nd7nE,Señal Colombia
#PedaleoPor: Esteban Kekessy envía un saludo a los escarabajos,Deportes,https://www.youtube.com/watch?v=QcRC92gkdzg,Señal Deportes
"En cine nos vemos - Locos - Harold Trompetero, 2011",Película y Animación,https://www.youtube.com/watch?v=x2OKb_LsvDQ,Señal Colombia
Kikirikí - Energía (Capítulo completo) | Temporada 1,Educación,https://www.youtube.com/watch?v=eksgCh0xzPs,Mi Señal
Los Pepa - Clip 75 - Prevención de terremotos,Educación,https://www.youtube.com/watch?v=4H3FTsPt_QE,Mi Señal
Jairo Enrique Rodríguez,Deportes,https://www.youtube.com/watch?v=j3MhSAUuVLY,Señal Deportes
En cine nos vemos - Ciclo: Fútbol y palomitas - Del 13 al 15 junio 10:30 p.m.,Película y Animación,https://www.youtube.com/watch?v=QIHNAA94jiM,Señal Colombia
Los Pepa - Clip 64 - Flores de colores,Educación,https://www.youtube.com/watch?v=3Zj3vWRO67w,Mi Señal
PromaxBDA Latin América 2010,Educación,https://www.youtube.com/watch?v=KvdsHNxL_hs,Señal Colombia
Profesor Super O Histórico - Capítulo 7,Deportes,https://www.youtube.com/watch?v=qbMHhqdlmPw,Señal Colombia
Mi Señal busca nuevos talentos - 3,Educación,https://www.youtube.com/watch?v=eBFfeGBsviw,Señal Colombia
Todo lo que vemos - 164 - Televidentes - Andrés Gómez,Entretenimiento,https://www.youtube.com/watch?v=LHrST8H3CJY,Señal Colombia
La infantería al ataque - Todo lo que vimos,Entretenimiento,https://www.youtube.com/watch?v=dnd4_zXirW8,Señal Colombia
5 de 6 cirugia estetica acceso directo.mpg,Entretenimiento,https://www.youtube.com/watch?v=t14RLpx28YI,Señal Colombia
Señal deportes estuvo en la MMB 2014,Deportes,https://www.youtube.com/watch?v=xBBIjNgDHuI,Señal Deportes
#VotoCriollo - Oficios de parque,Gente y Blogs,https://www.youtube.com/watch?v=lzDpbg4hdtA,Señal Colombia
Señal Colombia en el FICCI 2014,Gente y Blogs,https://www.youtube.com/watch?v=ZppEc0ccYq8,Señal Colombia
Todo lo que vemos - 279 - Televidente - Pilar Oviedo,Entretenimiento,https://www.youtube.com/watch?v=j4-0Qme5xcc,Señal Colombia
Promo oli?mpicos - Salto triple,Deportes,https://www.youtube.com/watch?v=SAqv08Sg7tw,Señal Deportes
"Todo lo que vemos - 309 - Capítulo completo - Sábado 11 de julio, 2015",Película y Animación,https://www.youtube.com/watch?v=5CT8VrcJ8Z4,Señal Colombia
Todo lo que vemos - 117 - Glosario - Juegos Panamericanos,Educación,https://www.youtube.com/watch?v=RtEW2L_Z_qg,Señal Colombia
Cap 06 Güipas y Guámbitos - Los encostalados del cerro,Gente y Blogs,https://www.youtube.com/watch?v=rLpTA1VKOCs,Señal Colombia
"Franja ""Anónimas extraordinarias"" - Si se capacita una mujer se capacita una nación",Gente y Blogs,https://www.youtube.com/watch?v=NhadlbKGVKQ,Señal Colombia
Today in replay 26 de julio,Deportes,https://www.youtube.com/watch?v=o8-8HqGEor0,Señal Deportes
Todo lo que vemos - 73 - Preguntas Frecuentes - Luminotécnico,Educación,https://www.youtube.com/watch?v=z5BHVSDrW48,Señal Colombia
"En cine nos vemos - Beatriz González ¿Por qué llora si ya reí? - Diego García Moreno, 2011",Película y Animación,https://www.youtube.com/watch?v=2lmyvQ-G4M8,Señal Colombia
Expresiones en vía de extinción Puesto 2 - El cóndor de los Andes,Entretenimiento,https://www.youtube.com/watch?v=a_N7Rj3wTSs,Señal Colombia
Paisaje de paisajes - Cap 01 Rastro púrpura,Gente y Blogs,https://www.youtube.com/watch?v=yddS85mxUU4,Señal Colombia
Torta de cerebro por: Kihara y Samuel,Película y Animación,https://www.youtube.com/watch?v=iP-OB1YRgAQ,Mi Señal
Molang - Hacer deportes con mi mejor amigo,Película y Animación,https://www.youtube.com/watch?v=r6j6ik06vWg,Mi Señal
Regio?n Mundo - Capi?tulo 2 - Fragmentacio?n,Gente y Blogs,https://www.youtube.com/watch?v=I-dHuJptUvY,Señal Colombia
Nuestros deportistas - Selección de fútbol femenino,Deportes,https://www.youtube.com/watch?v=Vgf3FXs5ueY,Señal Colombia
